Date, Sleep Time, Wake Time, Hours,Note
12/29/13,00:48,06:51,6.05,
12/28/13,04:45,08:59,4.23,
12/27/13,07:01,10:50,3.81,
12/26/13,00:02,06:52,6.83,
12/25/13,00:14,06:15,6.01,
12/24/13,00:32,09:02,8.5,
12/23/13,02:44,09:21,6.61,
12/22/13,01:30,09:48,8.3,
12/21/13,01:23,06:43,5.33,
12/20/13,02:26,08:46,6.33,
12/19/13,01:46,09:45,7.98,
12/18/13,01:21,08:34,7.21,
12/17/13,00:53,07:26,6.55,
12/16/13,00:54,07:25,6.51,
12/15/13,00:59,09:49,8.83,
12/14/13,02:01,09:39,7.63,
12/13/13,00:41,09:25,8.73,
12/12/13,02:24,10:23,7.98,
12/11/13,00:56,06:40,5.73,
12/10/13,01:49,07:05,5.26,
12/09/13,00:31,07:25,6.9,
12/08/13,00:15,06:44,6.48,
12/07/13,00:33,08:48,8.25,
12/06/13,23:56,05:51,5.91,
12/05/13,09:14,10:06,0.86,
12/05/13,23:42,00:34,0.86,
12/04/13,01:45,06:20,4.58,
12/02/13,02:23,06:34,4.18,
12/01/13,01:48,06:25,4.61,
11/30/13,07:01,09:02,2.01,
11/30/13,01:50,05:43,3.88,
11/29/13,09:43,10:57,1.23,
11/29/13,03:39,05:47,2.13,
